time,CR,TR,TJ,k1,FJc,dU,e
0.0,0.26762855300527105,333.0,330.02891909831493,0.4876279981774236,20.554193702766856,0.0,0.0
0.05,0.26762855300527105,333.0,330.02891909831493,0.4876279981774236,20.554193702766856,0.0,0.0
0.1,0.26762855300527105,333.0,330.02891909831493,0.4876279981774236,20.554193702766856,4.0200970458239454e-17,-1.3791094313762293e-18
0.15,0.2676284129793444,333.00028817530006,330.02897088702446,0.4876387239422221,20.554193702766856,4.0200970458239454e-17,-1.3791094313762293e-18
0.2,0.26762814194772216,333.00056774355096,330.02906241939223,0.4876490203528175,20.5708322736604,0.016638570893546686,-0.0005708001099718655
0.25,0.2676277646320978,333.00080253658143,330.0287503965393,0.48765766786076165,20.5708322736604,0.016638570893546686,-0.0005708001099718655
0.3,0.26762729992599243,333.0010034238153,330.0285341735155,0.48766506671862236,20.58474559735896,0.013913323698560564,-0.0010064803743196806
0.35,0.26762677690158226,333.0011482797296,330.0280277187739,0.4876704019566068,20.58474559735896,0.013913323698560564,-0.0010064803743196806
0.4,0.26762621751896276,333.0012504222575,330.02763694466296,0.48767416403546887,20.594085121123786,0.009339523764822668,-0.0012534788165275105
0.45,0.26762564814335726,333.0012995769044,330.0270901038766,0.4876759744922324,20.594085121123786,0.009339523764822668,-0.0012534788165275105
0.5,0.26762508852501876,333.00130816380766,330.0266500866612,0.4876762907644346,20.598432972285586,0.0043478511618016205,-0.0013112203667150846
0.55,0.2676245579586911,333.001276128364,330.0261773523565,0.4876751108382504,20.598432972285586,0.0043478511618016205,-0.0013112203667150846
0.6,0.267624070759199,333.00121284829413,330.0257843938315,0.4876727801209191,20.598442027688044,9.055402458244686e-06,-0.0012159048531827006
0.65,0.26762363747379025,333.00112543257194,330.02545132514774,0.4876695604615184,20.598442027688044,9.055402458244686e-06,-0.0012159048531827006
0.7,0.2676232657831189,333.0010193075536,330.0251635199341,0.4876656517354243,20.595385234461844,-0.0030567932261999432,-0.0010223641125980184
0.75,0.26762295798676333,333.0009052746948,330.0249894185901,0.48766145178515363,20.595385234461844,-0.0030567932261999432,-0.0010223641125980184
0.8,0.2676227155620276,333.00078492738874,330.0248274410724,0.48765701930325167,20.590726551093375,-0.004658683368469341,-0.0007879839477577729
0.85,0.2676225344752723,333.00066965236147,330.02479588686344,0.4876527736719704,20.590726551093375,-0.004658683368469341,-0.0007879839477577729
0.9,0.26762241147942956,333.00055801847884,330.024750557566,0.487648662178118,20.585787393954412,-0.004939157138962596,-0.0005610750378888795
0.95,0.2676223387426076,333.0004597263268,330.0248234190171,0.48764504208876375,20.585787393954412,-0.004939157138962596,-0.0005610750378888795
1.0,0.2676223102206573,333.0003714552362,330.024866554445,0.48764179109510364,20.58154192041337,-0.004245473541043068,-0.00037451179523549384
